block,collection,judge,method,eps,J50_docs,J50_queries,wrong_rate,n,max_budget_docs,max_act
"A query-level, set-F1, eps=0.01",dbpedia-entity,—,split_t,0.01,,,0.002,500,9796.666666666668,0.316
"A query-level, set-F1, eps=0.01",dbpedia-entity,Qwen3-8B,split_ppi,0.01,,,0.0,500,9796.666666666668,0.444
"A query-level, set-F1, eps=0.01",dbpedia-entity,Qwen3-8B,split_auto,0.01,,,0.002,500,9796.666666666668,0.434
"A query-level, set-F1, eps=0.01",dbpedia-entity,Mistral-7B,split_ppi,0.01,,,0.002,500,9796.666666666668,0.47
"A query-level, set-F1, eps=0.01",dbpedia-entity,Mistral-7B,split_auto,0.01,,,0.002,500,9796.666666666668,0.432
"A query-level, set-F1, eps=0.01",dbpedia-entity,Qwen3-Reranker,split_ppi,0.01,,,0.002,500,9796.666666666668,0.432
"A query-level, set-F1, eps=0.01",dbpedia-entity,Qwen3-Reranker,split_auto,0.01,,,0.004,500,9796.666666666668,0.358
"A query-level, set-F1, eps=0.01",dbpedia-entity,inverted,split_ppi,0.01,,,0.004,500,9796.666666666668,0.312
"A query-level, set-F1, eps=0.01",dbpedia-entity,inverted,split_auto,0.01,,,0.002,500,9796.666666666668,0.316
"A query-level, set-F1, eps=0.01",dl212223,—,split_t,0.01,5483.219864001649,79.04347826086956,0.0,500,13180.236966824645,0.626
"A query-level, set-F1, eps=0.01",dl212223,Qwen3-8B,split_ppi,0.01,5280.58903182126,76.12244897959184,0.0,500,13180.236966824645,0.636
"A query-level, set-F1, eps=0.01",dl212223,Qwen3-8B,split_auto,0.01,5476.900473933649,78.95238095238095,0.0,500,13180.236966824645,0.616
"A query-level, set-F1, eps=0.01",dl212223,Qwen3-Reranker,split_ppi,0.01,6173.90047393365,89.0,0.0,500,13180.236966824645,0.512
"A query-level, set-F1, eps=0.01",dl212223,Qwen3-Reranker,split_auto,0.01,5531.477024520915,79.73913043478261,0.0,500,13180.236966824645,0.618
"A query-level, set-F1, eps=0.01",dl212223,Mistral-7B,split_ppi,0.01,5508.767772511848,79.41176470588235,0.0,500,13180.236966824645,0.608
"A query-level, set-F1, eps=0.01",dl212223,Mistral-7B,split_auto,0.01,5531.156733632512,79.73451327433628,0.0,500,13180.236966824645,0.616
"B doc-level, precision",dl212223,—,uniform,0.01,,,0.0,300,3631.115686666667,0.4533333333333333
"B doc-level, precision",dl212223,—,weighted,0.01,1598.3116056695158,,0.0,300,3631.115686666667,0.8466666666666667
"B doc-level, precision",dl212223,—,strat_pilot,0.01,1522.323415028637,,0.0,300,3631.115686666667,0.85
